Gross,Lead male,Lead female,Age Lead,Difference in words lead and co-lead,Year,Number words female,Number of male actors,Age women,Number of female actors,Title,Total words,Number words male,Age Co-Lead,Age men,Lead,Number of words lead,Mean Age Male,Mean Age Female
48.0,Ben Sobel,Laura Sobel,54.0,4163,2002,759,12,[39.0],1,Analyze That,12705,7024,39.0,"[43.0, 54.0, 54.0, 65.0, 73.0, 19.0, 59.0, 38.0, 50.0]",Male,4922.0,50.55555555555556,39.0
152.0,Alvy Singer,Annie Hall,42.0,3942,1977,4001,5,"[31.0, 53.0, 34.0]",3,Annie Hall,12995,1333,31.0,"[42.0, 56.0, 36.0, 38.0, 36.0]",Male,7661.0,41.6,39.333333333333336
1.0,Jack Shaw,Carla,62.0,2920,1997,1141,6,"[41.0, 32.0]",3,The Assignment,9925,5300,32.0,"[54.0, 62.0, 62.0, 37.0, 38.0]",Male,3484.0,50.6,36.5
102.0,Austin Powers,Vanessa Kensing,34.0,1306,1997,1544,5,"[44.0, 41.0, 41.0, 32.0]",4,Austin Powers: International Man of Mystery,5323,1481,32.0,"[34.0, 55.0, 30.0, 67.0, 23.0]",Male,2298.0,41.8,39.5
351.0,Basil Expositio,Felicity Shagwe,29.0,508,1999,0,4,[29.0],1,Austin Powers: The Spy Who Shagged Me,2081,1141,57.0,"[57.0, 69.0, 25.0, 41.0]",Female,940.0,48.0,29.0
107.0,Dr. Malcolm Say,Mrs. Lowe,39.0,4273,1990,2417,8,"[62.0, 85.0, 49.0, 26.0, 64.0]",6,Awakenings,11729,4314,85.0,"[45.0, 39.0, 47.0, 37.0]",Male,4998.0,42.0,57.2
99.0,Jay O'Neill,Debbie Thompson,30.0,200,1984,832,11,"[23.0, 33.0, 54.0]",3,Bachelor Party,4498,2947,23.0,"[36.0, 56.0, 34.0, 30.0, 43.0, 43.0, 30.0]",Male,719.0,38.857142857142854,36.666666666666664
131.0,Marcus Burnett,Julie Mott,30.0,1965,1995,3133,7,"[42.0, 29.0, 31.0]",5,Bad Boys,11252,4164,29.0,"[28.0, 40.0, 30.0, 42.0, 29.0, 30.0, 27.0]",Male,3955.0,32.285714285714285,34.0
4.0,The Lieutenant,The Nun,53.0,1770,1992,846,4,[28.0],1,Bad Lieutenant,3918,456,28.0,"[58.0, 54.0, 53.0]",Male,2616.0,55.0,28.0
3.0,Pierre Delacroi,Sloan Hopkins,40.0,2930,2000,1729,9,"[32.0, 57.0, 29.0]",3,Bamboozled,11361,5453,29.0,"[59.0, 27.0, 27.0, 40.0, 37.0, 30.0, 37.0]",Male,4179.0,36.714285714285715,39.333333333333336
247.0,Detective Nick ,Catherine Trame,48.0,521,1992,2680,6,"[34.0, 29.0]",2,Basic Instinct,7344,2292,34.0,"[33.0, 48.0, 41.0, 47.0, 27.0, 53.0]",Male,2372.0,41.5,31.5
341.0,Penguin,Selina Kyle,48.0,2036,1992,1188,5,"[28.0, 34.0]",2,Batman Returns,7018,2717,34.0,"[41.0, 68.0, 49.0, 48.0, 54.0]",Male,3113.0,52.0,31.0
550.0,Bruce Wayne,Vicki Vale,36.0,343,1989,0,4,[36.0],1,Batman,2856,1720,38.0,"[38.0, 70.0, 52.0, 52.0]",Female,1136.0,53.0,36.0
64.0,Richard,Sal,26.0,5475,2000,1605,7,"[24.0, 40.0]",2,The Beach,10592,2593,40.0,"[36.0, 39.0, 27.0, 36.0, 26.0, 21.0, 22.0]",Male,6394.0,29.571428571428573,32.0
124.0,Butt-Head,Dallas Grimes,34.0,896,1996,519,4,[34.0],2,Beavis and Butt-Head Do America,3142,1420,34.0,"[77.0, 34.0, 41.0]",Male,1203.0,50.666666666666664,34.0
3.0,Hector,Beatrice,43.0,2439,1994,2492,16,"[40.0, 46.0]",5,Being Human,12199,6162,40.0,"[44.0, 48.0, 58.0, 46.0, 39.0, 43.0, 37.0, 31.0, 37.0, 49.0, 35.0, 51.0]",Male,3545.0,43.166666666666664,43.0
95.0,Ed Bloom - Youn,Jenny - Young,32.0,3401,2003,2173,5,"[37.0, 28.0, 54.0]",4,Big Fish,8715,2101,37.0,"[57.0, 76.0, 32.0, 46.0, 35.0]",Male,4441.0,49.2,39.666666666666664
99.0,Nick Conklin,Joyce,45.0,1751,1989,404,6,[36.0],1,Black Rain,4862,2303,36.0,"[58.0, 45.0, 60.0, 43.0, 39.0, 60.0]",Male,2155.0,50.833333333333336,36.0
29.0,Dwight 'Bucky' ,Madeleine Linsc,28.0,1770,2006,3167,13,"[31.0, 22.0, 32.0, 48.0, 33.0]",9,The Black Dahlia,11295,5433,32.0,"[56.0, 37.0, 56.0, 28.0, 38.0]",Male,2695.0,43.0,33.2
27.0,Frank Dulaney,Rebecca Carlson,38.0,2185,1993,3511,8,"[46.0, 46.0, 35.0, 33.0]",6,Body of Evidence,9141,1788,35.0,"[41.0, 37.0, 50.0, 38.0, 55.0]",Male,3842.0,44.2,40.0
255.0,Frank Farmer,Rachel Marron,29.0,565,1992,693,11,"[38.0, 29.0]",2,The Bodyguard,12844,7758,37.0,"[37.0, 64.0, 34.0, 37.0, 51.0, 33.0, 45.0, 35.0, 42.0]",Female,4393.0,42.0,33.5
32.0,Sherman Mccoy,Maria Ruskin,34.0,1699,1990,2844,16,"[31.0, 34.0, 33.0, 65.0]",4,The Bonfire of the Vanities,13781,7646,33.0,"[63.0, 53.0, 57.0, 73.0, 42.0, 53.0, 35.0, 37.0, 40.0, 45.0, 49.0, 34.0, 59.0, 34.0]",Male,3291.0,48.142857142857146,40.75
73.0,Milo Boyd,Nicole Hurley,41.0,1268,2010,2468,4,"[58.0, 58.0, 41.0]",4,The Bounty Hunter,6641,888,41.0,"[41.0, 48.0, 35.0]",Male,3285.0,41.333333333333336,52.333333333333336
151.0,Malcolm Wallace,Princess Isabel,41.0,684,1995,1024,11,"[29.0, 29.0]",2,Braveheart,5683,3103,29.0,"[47.0, 40.0, 67.0, 57.0, 41.0, 49.0, 32.0, 30.0, 67.0, 12.0]",Male,1556.0,44.2,29.0
24.0,Sam Lowry,Jill Layton,38.0,2323,1985,1154,10,[27.0],3,Brazil,7346,3319,27.0,"[42.0, 42.0, 44.0, 62.0, 54.0, 51.0, 38.0, 50.0, 43.0]",Male,2873.0,47.333333333333336,27.0
28.0,Frank Pierce,Mary Burke,35.0,1493,1999,1711,7,"[29.0, 31.0, 51.0]",3,Bringing Out the Dead,7266,2693,31.0,"[31.0, 57.0, 44.0, 35.0, 47.0, 40.0, 31.0]",Male,2862.0,40.714285714285715,37.0
138.0,Maj. Vic 'Deak',Terry Carmichae,42.0,976,1996,1412,8,[26.0],1,Broken Arrow,5675,1875,26.0,"[56.0, 40.0, 44.0, 33.0, 36.0, 42.0, 51.0, 53.0]",Male,2388.0,44.375,26.0
350.0,Bruce Nolan,Grace Connelly,41.0,4436,2003,3214,6,"[40.0, 34.0, 35.0]",3,Bruce Almighty,12798,2802,34.0,"[41.0, 41.0, 66.0, 72.0, 46.0]",Male,6782.0,53.2,36.333333333333336
73.0,Harry Pfarrer,Linda Litzke,51.0,190,2008,695,9,"[48.0, 51.0, 39.0]",3,Burn After Reading,7380,4909,47.0,"[47.0, 53.0, 55.0, 61.0, 38.0]",Female,1776.0,50.8,46.0
377.0,Chuck Noland,Kelly Frears,44.0,3471,2000,719,4,[37.0],2,Cast Away,5675,922,37.0,"[44.0, 41.0]",Male,4034.0,42.5,37.0
56.0,Tom Lone,Patience Philli,38.0,1361,2004,3657,4,"[21.0, 46.0, 38.0, 31.0]",5,Catwoman,9653,2978,41.0,"[46.0, 41.0]",Female,3018.0,43.5,34.0
44.0,Ryan,Marilyn Mooney,23.0,3350,2004,1953,11,"[22.0, 51.0, 52.0]",3,Cellular,9531,3299,52.0,"[27.0, 46.0, 23.0]",Male,4279.0,32.0,41.666666666666664
43.0,Captain J.J. Jo,Christine Colli,33.0,1848,2008,733,16,"[40.0, 33.0]",4,Changeling,12860,8683,40.0,"[40.0, 43.0, 50.0, 13.0, 39.0, 68.0, 40.0, 46.0, 38.0, 59.0, 54.0, 25.0, 55.0, 59.0, 14.0]",Female,3444.0,42.86666666666667,36.5
98.0,Homer Wells,Candy Kendall,24.0,1267,1999,2689,9,"[24.0, 15.0, 67.0, 49.0, 60.0, 49.0, 28.0]",7,The Cider House Rules,9016,3959,24.0,"[17.0, 66.0, 8.0, 24.0, 30.0, 34.0, 32.0, 44.0]",Male,2368.0,31.875,41.714285714285715
2.0,Ty Cobb,Ramona,48.0,6101,1994,605,5,[33.0],1,Cobb,8112,801,33.0,"[45.0, 53.0, 48.0, 59.0]",Male,6706.0,51.25,33.0
59.0,Gordy Brewer,Selena Perrini,55.0,712,2002,470,9,[38.0],1,Collateral Damage,4555,2903,38.0,"[38.0, 55.0, 51.0, 41.0, 45.0]",Male,1182.0,46.0,38.0
102.0,John Constantin,Gabriel,41.0,3372,2005,945,10,"[29.0, 45.0]",2,Constantine,7729,2924,45.0,"[40.0, 19.0, 45.0, 41.0, 41.0, 52.0]",Male,3860.0,39.666666666666664,37.0
191.0,Palmer Joss,Ellie,35.0,3383,1997,0,11,[35.0],1,Contact,11547,6677,28.0,"[64.0, 41.0, 50.0, 28.0, 61.0, 44.0]",Female,4870.0,48.0,35.0
49.0,Archie,Daria,44.0,483,2003,1003,10,"[31.0, 35.0, 11.0]",3,Cradle 2 the Grave,5927,3941,31.0,"[44.0, 40.0, 39.0, 24.0, 41.0, 40.0, 33.0]",Male,983.0,37.285714285714285,25.666666666666668
35.0,Judah Earl,Sarah,34.0,24,1996,823,2,[21.0],2,The Crow: City of Angels,1870,406,21.0,"[49.0, 34.0]",Male,641.0,41.5,21.0
12.0,Sheldon Mopes,Nora Wells,33.0,1421,2002,1810,6,"[43.0, 54.0]",2,Death to Smoochy,8963,4354,43.0,"[58.0, 40.0, 48.0, 51.0, 33.0, 42.0]",Male,2799.0,45.333333333333336,48.5
5.0,Wyatt Bose,S,40.0,694,2008,972,3,[28.0],4,Deception,2662,379,28.0,[40.0],Male,1311.0,40.0,28.0
34.0,Tuvia Bielski,Lilka Ticktin,40.0,2964,2008,1521,13,"[37.0, 19.0, 26.0, 33.0]",6,Defiance,10750,5805,26.0,"[16.0, 22.0, 57.0, 53.0, 37.0, 52.0, 46.0, 58.0, 40.0, 46.0, 33.0, 41.0]",Male,3424.0,41.75,28.75
60.0,Mookie,Jade,32.0,770,1989,1070,9,"[27.0, 67.0, 25.0]",3,Do the Right Thing,5345,3117,27.0,"[50.0, 72.0, 51.0, 32.0, 32.0, 36.0, 56.0, 36.0, 35.0]",Male,1158.0,44.44444444444444,39.666666666666664
101.0,Kale,Julie,21.0,2218,2007,773,3,"[42.0, 40.0]",2,Disturbia,5183,1657,40.0,"[21.0, 54.0, 28.0]",Male,2753.0,34.333333333333336,41.0
79.0,Lefty,Maggie,57.0,2462,1997,1525,12,[28.0],2,Donnie Brasco,13269,7966,28.0,"[34.0, 57.0, 48.0, 39.0]",Male,3778.0,44.5,28.0
18.0,Galen,Valerian,27.0,158,1981,1467,8,[29.0],2,Dragonslayer,5916,3114,29.0,"[27.0, 53.0, 72.0, 50.0, 40.0, 79.0]",Male,1335.0,53.5,29.0
72.0,Jim Morrison,Pamela Courson,32.0,5497,1991,2080,11,"[30.0, 37.0]",3,The Doors,12303,3516,30.0,"[32.0, 26.0, 72.0, 45.0, 33.0, 32.0, 31.0, 33.0]",Male,6707.0,38.0,33.5
70.0,Paul Atreides,Lady Jessica,25.0,1070,1984,1261,9,"[39.0, 54.0]",2,Dune,5596,2558,39.0,"[48.0, 43.0, 44.0, 72.0, 25.0, 34.0, 39.0, 67.0, 57.0]",Male,1777.0,47.666666666666664,46.5
116.0,Jim,Peg,42.0,1399,1990,1388,4,"[40.0, 40.0, 19.0, 38.0, 42.0]",5,Edward Scissorhands,4318,992,22.0,"[27.0, 22.0, 12.0, 56.0]",Female,1938.0,29.25,35.8
122.0,Jerry Shaw,Rachel Holloman,22.0,101,2008,4113,6,"[48.0, 75.0, 32.0]",5,Eagle Eye,7732,2090,32.0,"[45.0, 22.0]",Male,1529.0,33.5,51.666666666666664
20.0,Sir Walter Rale,Queen Elizabeth,38.0,1029,2007,612,9,"[30.0, 38.0, 44.0]",3,Elizabeth: The Golden Age,6562,3468,43.0,"[54.0, 39.0, 65.0, 40.0, 40.0, 29.0, 56.0, 43.0, 43.0]",Female,2482.0,45.44444444444444,37.333333333333336
49.0,Snake Plissken,Taslima,45.0,748,1996,885,8,"[47.0, 31.0, 22.0]",4,Escape from L.A.,4596,2635,31.0,"[55.0, 44.0, 39.0, 56.0, 73.0, 45.0]",Male,1076.0,52.0,33.333333333333336
95.0,Dr. William Har,Domino,37.0,1509,1999,269,4,"[23.0, 40.0]",2,Eyes Wide Shut,2656,729,23.0,"[37.0, 35.0, 65.0]",Male,1658.0,45.666666666666664,31.5
212.0,Sean Archer,Dr. Eve Archer,33.0,1066,1997,1433,6,"[41.0, 17.0, 35.0, 29.0]",4,Face/Off,4507,1169,41.0,"[25.0, 34.0, 33.0, 44.0, 64.0]",Male,1905.0,40.0,30.5
164.0,Ferris Bueller,Sloane Peterson,24.0,1788,1986,2152,3,"[26.0, 19.0]",4,Ferris Bueller's Day Off,6348,1570,19.0,"[30.0, 40.0, 24.0]",Male,2626.0,31.333333333333332,22.5
120.0,Korben Dallas,Leeloo,42.0,1846,1997,262,13,[22.0],1,The Fifth Element,7223,4853,22.0,"[66.0, 52.0, 72.0, 39.0, 42.0, 44.0, 39.0, 69.0, 68.0, 29.0, 25.0]",Male,2108.0,49.54545454545455,22.0
63.0,The Narrator,Marla Singer,30.0,4870,1999,1144,3,"[30.0, 33.0]",2,Fight Club,10362,3405,33.0,"[52.0, 30.0, 36.0]",Male,5813.0,39.333333333333336,31.5
86.0,Tod Waggner,Clear Rivers,24.0,1,2000,436,6,"[24.0, 32.0]",2,Final Destination,2750,1842,22.0,"[37.0, 24.0, 46.0, 28.0, 22.0]",Female,472.0,31.4,28.0
114.0,Irwin 'Fletch' ,Gail Stanwyk,42.0,3574,1985,802,5,"[25.0, 29.0]",2,Fletch,5747,708,25.0,"[50.0, 37.0, 52.0, 42.0, 40.0]",Male,4237.0,44.2,27.0
27.0,Jack Durrance,Ethne Eustace,24.0,3049,2002,5777,10,[23.0],2,The Four Feathers,20433,6188,23.0,"[54.0, 45.0, 23.0, 24.0, 32.0, 33.0]",Male,8468.0,35.166666666666664,23.0
686.0,Forrest Gump,Young Jenny Cur,38.0,4495,1994,1549,5,"[38.0, 48.0, 10.0]",3,Forrest Gump,8989,1994,10.0,"[37.0, 44.0, 38.0, 39.0, 59.0]",Male,5446.0,43.4,32.0
31.0,Charles Mccullo,Rennie Wickham,62.0,68,1989,2432,7,"[21.0, 20.0]",5,Friday the 13th Part VIII: Jason Takes Manhattan,5370,1919,20.0,"[62.0, 20.0, 24.0, 23.0, 20.0, 10.0]",Male,1019.0,26.5,20.5
174.0,Duke,Scarlett,29.0,925,2009,1686,13,[29.0],1,G.I. Joe: The Rise of Cobra,12554,8257,29.0,"[33.0, 62.0, 36.0, 29.0, 55.0, 42.0, 45.0, 37.0, 39.0, 28.0, 62.0, 47.0]",Male,2611.0,42.916666666666664,29.0
91.0,Master Chief Jo,Jordan O'Neill,35.0,1132,1997,1432,9,"[42.0, 35.0, 66.0]",3,G.I. Jane,8192,4104,39.0,"[25.0, 27.0, 36.0, 38.0, 39.0, 28.0, 37.0, 47.0, 33.0]",Female,2656.0,34.44444444444444,47.666666666666664
23.0,Humanz Brother,Gina Parker Smi,32.0,267,2009,409,5,"[44.0, 30.0]",2,Gamer,2066,1151,44.0,"[45.0, 32.0, 30.0, 38.0, 17.0]",Male,506.0,32.4,37.0
23.0,Jerome Eugene M,Irene Cassini,25.0,1835,1997,458,9,[27.0],1,Gattaca,5309,2558,27.0,"[80.0, 72.0, 42.0, 33.0, 44.0, 25.0, 27.0]",Male,2293.0,46.142857142857146,27.0
116.0,William 'Boss' ,Jenny Everdeane,53.0,560,2002,1419,12,[30.0],2,Gangs of New York,8553,5283,30.0,"[45.0, 37.0, 31.0, 31.0, 34.0, 45.0, 77.0, 29.0, 47.0, 53.0]",Male,1851.0,42.9,30.0
85.0,Pete Graham,Miranda Grey,37.0,4063,2003,1835,7,"[61.0, 37.0]",5,Gothika,13304,5568,38.0,"[38.0, 59.0, 40.0, 53.0]",Female,5901.0,47.5,49.0
85.0,Daniel Clamp,Marla Bloodston,46.0,444,1990,2246,8,"[27.0, 31.0, 71.0, 57.0]",4,Gremlins 2: The New Batch,6224,2693,31.0,"[70.0, 38.0, 46.0, 37.0, 60.0, 38.0, 38.0]",Male,1285.0,46.714285714285715,46.5
53.0,Martin Q. Blank,Debi Newberry,31.0,2439,1997,1684,9,"[27.0, 35.0, 62.0]",5,Grosse Pointe Blank,6805,1667,27.0,"[63.0, 45.0, 32.0, 31.0, 69.0, 32.0, 33.0]",Male,3454.0,43.57142857142857,41.333333333333336
148.0,Phil,Rita,43.0,2757,1993,2727,4,"[63.0, 31.0, 35.0]",3,Groundhog Day,8802,856,35.0,"[19.0, 33.0, 42.0, 43.0]",Male,5219.0,34.25,43.0
30.0,Dr. Wynn,Kara Strode,67.0,241,1995,1552,6,"[24.0, 48.0, 20.0, 29.0, 70.0]",5,Halloween: The Curse of Michael Myers,4650,2151,29.0,"[76.0, 67.0, 52.0, 26.0]",Male,947.0,55.25,38.2
36.0,Tom,Karen,29.0,1401,1998,686,9,[28.0],1,Hard Rain,7565,4792,28.0,"[40.0, 61.0, 27.0, 48.0, 33.0, 48.0, 29.0, 69.0, 42.0]",Male,2087.0,44.111111111111114,28.0
97.0,Mason Storm,Martha Coe,38.0,1752,1990,142,6,[37.0],1,Hard to Kill,3398,1362,37.0,"[47.0, 38.0, 40.0, 15.0]",Male,1894.0,35.0,37.0
25.0,Harold Lee,Liane,32.0,3701,2004,868,14,"[26.0, 26.0, 30.0]",4,Harold & Kumar Go to White Castle,10686,5716,26.0,"[34.0, 28.0, 43.0, 26.0, 32.0, 32.0, 27.0, 28.0, 31.0, 32.0, 24.0, 38.0]",Male,4102.0,31.25,27.333333333333332
392.0,Harry Potter,Hermione Grange,13.0,2077,2002,2440,15,"[11.0, 12.0, 60.0, 37.0, 52.0]",5,Harry Potter and the Chamber of Secrets,16708,10544,12.0,"[60.0, 13.0, 35.0, 15.0, 13.0, 39.0, 47.0, 19.0, 72.0, 42.0, 14.0, 52.0, 56.0, 24.0, 55.0]",Male,3724.0,37.06666666666667,34.4
488.0,Harry,Hermione Grange,12.0,870,2001,1582,11,"[43.0, 11.0, 67.0]",3,Harry Potter and the Sorcerer's Stone,7907,4557,11.0,"[14.0, 28.0, 12.0, 18.0, 18.0, 71.0, 37.0, 13.0, 51.0, 55.0]",Male,1768.0,31.7,40.333333333333336
348.0,Harry Potter,Hermione Grange,15.0,1108,2004,3213,15,"[56.0, 46.0, 14.0, 63.0, 45.0]",5,Harry Potter and the Prisoner of Azkaban,14717,8307,14.0,"[79.0, 17.0, 18.0, 18.0, 15.0, 45.0, 15.0, 47.0, 41.0, 58.0, 16.0, 54.0, 46.0, 46.0, 28.0]",Male,3197.0,36.2,44.8
134.0,Lt. Vincent Han,Eady,55.0,376,1995,1098,13,"[27.0, 31.0, 43.0]",4,Heat,4960,3124,31.0,"[38.0, 48.0, 36.0, 41.0, 55.0, 34.0, 57.0, 39.0, 38.0, 36.0]",Male,738.0,42.2,33.666666666666664
91.0,Hellboy,Liz Sherman,58.0,1230,2008,1999,6,"[36.0, 28.0]",2,Hellboy II: The Golden Army,8611,4180,36.0,"[58.0, 35.0, 85.0, 40.0, 64.0]",Male,2432.0,56.4,32.0
26.0,J.P. Monroe,Joanne 'Joey' S,29.0,741,1992,1544,4,"[29.0, 26.0, 28.0]",5,Hellraiser III: Hell on Earth,5092,2052,31.0,"[38.0, 31.0, 38.0]",Female,1496.0,35.666666666666664,27.666666666666668
20.0,Jacob Kell,Faith,42.0,1481,2000,654,11,[29.0],1,Highlander: Endgame,8450,5661,29.0,"[29.0, 43.0, 41.0, 42.0, 52.0, 38.0, 32.0]",Male,2135.0,39.57142857142857,29.0
2.0,Henry Fool,Fay Grim,35.0,3081,1997,1440,7,"[29.0, 34.0]",5,Henry Fool,8240,2897,29.0,"[36.0, 39.0, 35.0, 42.0, 34.0, 28.0]",Male,3903.0,35.666666666666664,31.5
18.0,Jerry Goldsmith,Denise Willis,32.0,541,2003,2252,8,"[31.0, 35.0, 64.0]",3,House of 1000 Corpses,7577,3982,31.0,"[37.0, 64.0, 53.0, 63.0, 32.0, 52.0, 32.0, 64.0]",Male,1343.0,49.625,43.333333333333336
32.0,Paul Rusesabagi,Tatiana Rusesab,40.0,2964,2004,1008,12,[36.0],3,Hotel Rwanda,6992,2421,36.0,"[63.0, 33.0, 42.0, 40.0, 33.0]",Male,3563.0,42.2,36.0
365.0,Bob Parr,Helen Parr,46.0,503,2004,895,5,"[46.0, 45.0, 35.0]",3,The Incredibles,5745,2996,60.0,"[60.0, 11.0, 56.0, 70.0, 34.0]",Female,1854.0,46.2,42.0
602.0,David Levinson,Constance Spano,44.0,502,1996,849,12,"[38.0, 32.0]",2,Independence Day,5680,3816,38.0,"[29.0, 28.0, 49.0, 44.0, 47.0, 66.0, 61.0, 34.0, 42.0, 24.0, 43.0, 46.0]",Male,1015.0,42.75,35.0
9.0,Indy,Marion Ravenwoo,39.0,797,1981,972,7,[30.0],1,Raiders of the Lost Ark,4279,1538,30.0,"[59.0, 59.0, 38.0, 39.0, 33.0, 37.0]",Male,1769.0,44.166666666666664,30.0
466.0,Indiana Jones,Willie Scott,42.0,737,1984,1564,5,[31.0],1,Indiana Jones and the Temple of Doom,5036,1171,31.0,"[42.0, 42.0, 52.0, 69.0, 13.0]",Male,2301.0,43.6,31.0
50.0,Miles,Marylin,42.0,1164,2003,3668,6,"[34.0, 35.0, 33.0, 52.0]",6,Intolerable Cruelty,8624,1297,34.0,"[48.0, 42.0, 60.0, 51.0, 34.0]",Male,3659.0,47.0,38.5
21.0,Mark Bellison,Bank Teller,48.0,4134,2009,692,10,"[32.0, 35.0, 68.0, 39.0]",4,The Invention of Lying,7061,2005,32.0,"[65.0, 40.0, 26.0, 42.0, 42.0, 48.0, 27.0, 38.0]",Male,4364.0,41.0,43.5
152.0,Steve,Stella Bridger,28.0,29,2003,0,9,[28.0],1,The Italian Job,3497,2811,34.0,"[36.0, 68.0, 30.0, 29.0, 48.0, 34.0, 43.0]",Female,686.0,41.142857142857146,28.0
53.0,Jacob,Jezzie,32.0,1542,1990,2229,7,"[31.0, 33.0, 63.0]",3,Jacob's Ladder,8599,2859,31.0,"[28.0, 31.0, 32.0, 57.0, 34.0, 30.0]",Male,3511.0,35.333333333333336,42.333333333333336
2.0,Kafka,Gabriela,43.0,1654,1991,1597,9,"[33.0, 34.0]",2,Kafka,7514,2925,34.0,"[34.0, 47.0, 59.0, 60.0, 51.0, 43.0, 77.0, 79.0, 38.0]",Male,2992.0,54.22222222222222,33.5
7.0,Rupert Pupkin,Rita,39.0,3592,1982,2898,6,"[35.0, 27.0, 37.0]",4,The King of Comedy,10170,1955,37.0,"[56.0, 39.0, 58.0]",Male,5317.0,51.0,33.0
60.0,Ronald Fleury,Janet Mayes,40.0,1918,2007,744,9,"[55.0, 35.0]",2,The Kingdom,6598,3319,35.0,"[38.0, 42.0, 45.0, 8.0, 28.0, 60.0, 40.0]",Male,2535.0,37.285714285714285,45.0
122.0,Ed Exley,Lynn Bracken,30.0,1497,1997,1120,11,"[44.0, 51.0]",2,L.A. Confidential,9373,5884,44.0,"[33.0, 58.0, 48.0, 57.0, 30.0, 38.0, 32.0, 48.0]",Male,2369.0,43.0,47.5
122.0,Joe Hallenbeck,Sarah Hallenbec,36.0,5844,1991,1103,7,"[25.0, 14.0, 34.0]",3,The Last Boy Scout,14205,6767,34.0,"[33.0, 31.0, 36.0, 34.0, 41.0, 49.0, 60.0]",Male,6335.0,40.57142857142857,24.333333333333332
85.0,Nick Rice,Sarah Lowell,42.0,2666,2009,1101,8,"[39.0, 35.0]",4,Law Abiding Citizen,8821,4621,35.0,"[40.0, 56.0, 37.0, 59.0, 42.0, 61.0]",Male,3099.0,49.166666666666664,37.0
44.0,Bob Hanson,Charlie,56.0,250,2010,2468,9,"[27.0, 43.0]",3,Legion,9950,5770,27.0,"[56.0, 40.0, 39.0, 36.0, 49.0, 28.0, 32.0, 39.0, 59.0]",Male,1712.0,42.0,35.0
34.0,Steven Beck,Elizabeth 'Will,42.0,547,1989,785,6,"[30.0, 41.0]",2,Leviathan,4597,2754,30.0,"[32.0, 63.0, 53.0, 44.0, 42.0, 30.0]",Male,1058.0,44.0,35.5
28.0,David Gale,Bitsey Bloom,44.0,99,2003,3012,6,"[28.0, 39.0, 33.0]",4,The Life of David Gale,6042,1287,28.0,"[54.0, 44.0, 53.0, 31.0]",Male,1743.0,45.5,33.333333333333336
65.0,Mitch Henessey,Charly Baltimor,40.0,316,1996,0,7,[40.0],1,The Long Kiss Goodnight,5856,3657,48.0,"[43.0, 50.0, 37.0, 51.0, 48.0, 76.0, 32.0]",Female,2199.0,48.142857142857146,40.0
